year,Group(小組分組),Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Goal_dif,Result,overall,age,height_cm,weight_kg,skill_moves,pace,shooting,passing,dribbling,defending,physic,attacking_crossing,attacking_finishing,attacking_heading_accuracy,attacking_short_passing,attacking_volleys,skill_dribbling,skill_curve,skill_fk_accuracy,skill_long_passing,skill_ball_control,movement_acceleration,movement_sprint_speed,movement_agility,movement_reactions,movement_balance,power_shot_power,power_jumping,power_stamina,power_strength,power_long_shots,mentality_aggression,mentality_interceptions,mentality_positioning,mentality_vision,mentality_penalties,mentality_composure,defending_marking_awareness,defending_standing_tackle,defending_sliding_tackle,goalkeeping_diving,goalkeeping_handling,goalkeeping_kicking,goalkeeping_positioning,goalkeeping_reflexes,goalkeeping_speed,rank_diff
2018,Group A,Russia,5,0,Saudi Arabia,5,1,7.337662338,0.207792208,6.922077922,7.766233766,0.311688312,-5.444444444,12.27777778,9.111111111,5.388888889,-4.277777778,1.777777778,8.285714286,14.06493506,8.181818182,8.688311688,10.25974026,7.480519481,7.428571429,15.97402597,9.935064935,9.818181818,-2.974025974,-1.402597403,-4.454545455,9.675324675,-3.662337662,11.63636364,-8.181818182,4.415584416,5.233766234,9.376623377,-0.558441558,-1.311688312,10.50649351,10.80519481,8.519480519,9.701298701,-5.38961039,-2.896103896,-0.857142857,0.285714286,-3.935064935,2.025974026,1.064935065,-0.051948052,10,1
2018,Group A,Egypt,0,1,Uruguay,-1,0,-1.115384615,-1.846153846,-2.807692308,1.153846154,0.230769231,-3.727272727,-10.36363636,-4.409090909,-2.181818182,-1.75,0.272727273,-2.346153846,-2.711538462,-1.923076923,3.365384615,-5.865384615,5.403846154,-0.730769231,-1.211538462,7.230769231,5.326923077,-1.384615385,1,3.557692308,-0.865384615,5.807692308,-8.461538462,1.307692308,8.923076923,3.75,0.903846154,3.788461538,9.346153846,-2.576923077,-3.653846154,-3.653846154,-0.673076923,5.942307692,4.807692308,7.5,-8.826923077,-5.807692308,-13.59615385,-12.36538462,-12.75,-0.913398693,10
2018,Group B,Portugal,3,3,Spain,0,0,4.888888889,3.444444444,-4.666666667,-12,2.444444444,-0.354477904,0.876004879,0.9439917,0.525478923,0.309254115,-0.096354872,43,56.22222222,43.77777778,25.88888889,44.33333333,63.66666667,44.55555556,40,20,42,38.77777778,37.22222222,34.88888889,15.33333333,32.11111111,12,2.666666667,40.55555556,20.11111111,54.66666667,50.33333333,39.33333333,53.55555556,17,40.44444444,20.55555556,35.88888889,40.77777778,35.44444444,-60.44444444,-58.33333333,-68.66666667,-57.44444444,-62.33333333,29,-3
2018,Group B,Morocco,0,1,IR Iran,-1,0,3.979166667,1.930555556,-1.638888889,-2.847222222,0.458333333,1.361904762,2.123809524,4.180952381,3.771428571,3.20952381,1.466666667,12.55555556,12.125,6.006944444,12.01388889,10.43055556,14.33333333,13.58333333,8.875,9.555555556,11.35416667,6.763888889,6.243055556,7.604166667,3.958333333,6.1875,3.354166667,-0.909722222,9.722222222,0.090277778,9.659722222,13.65972222,10.04861111,12.8125,8.861111111,9.645833333,9.131944444,8.916666667,9.423611111,9.145833333,-8.444444444,-8.381944444,-7.381944444,-9.770833333,-10.44444444,1,8
2018,Group C,France,2,1,Australia,1,1,11.55148741,-1.434782609,1.90617849,0.448512586,0.247139588,2.325,4.8625,10.5375,9.9375,8.9,2.9625,7.421052632,3.318077803,10.4416476,13.74599542,9.551487414,10.05034325,7.167048055,10.94508009,13.16704805,13.53318078,1.974828375,3.52402746,5.457665904,14.52631579,0.151029748,8.610983982,5,2.590389016,0.519450801,5.816933638,6.185354691,9.167048055,6.853546911,10.64988558,3.118993135,12.40732265,8.803203661,8.418764302,9.235697941,-1.04805492,-1.402745995,-1.514874142,-1.933638444,-1.336384439,2.666666667,-29
2018,Group C,Peru,0,1,Denmark,-1,0,-2.107954545,0.426136364,-8.903409091,-8.534090909,0.051136364,9.149797571,-0.4048583,0.412955466,2.214574899,0.951417004,-2.914979757,3.119318182,-2.664772727,-10.07386364,-4.829545455,-5.090909091,-0.397727273,-0.215909091,-1.460227273,-6.034090909,-3.914772727,7.710227273,5.448863636,7.034090909,-2.284090909,11.61363636,-2.988636364,-6.6875,0.840909091,-8.596590909,-1.977272727,-4.573863636,-0.5,0.642045455,-6.073863636,-0.948863636,-4.295454545,-1.676136364,0.159090909,3.755681818,2.710227273,1.607954545,1.801136364,3.414772727,1.948863636,1.666666667,-1
2018,Group D,Argentina,1,1,Iceland,0,0,12.81428571,0.307142857,-7.257142857,-2.9,1.207142857,9.611111111,17.16666667,17.5,19.94444444,-4.055555556,1.111111111,16.85714286,17.85,5.2,17.52142857,20.82857143,23.12857143,22.55714286,22.56428571,16.69285714,19.54285714,10.90714286,8.535714286,19.15,10.9,10.56428571,13.20714286,6.442857143,6.021428571,0.885714286,15.31428571,7.007142857,-2.371428571,19.3,18.25,15.28571429,15.95714286,-1.7,-2.35,-0.685714286,-2.492857143,-2.642857143,-4.4,-1.478571429,-0.178571429,2,-18
2018,Group D,Croatia,2,0,Nigeria,2,1,4.036199095,1.352941176,0.547511312,0.954751131,-0.004524887,-5.583333333,9.716666667,11.76666667,7,3.3,-0.283333333,10.3800905,8.162895928,0.058823529,7.751131222,12.02262443,4.488687783,10.97285068,12.42533937,9.552036199,6.49321267,-2.511312217,-6.045248869,2.977375566,3.533936652,0.828054299,5.239819005,-3.773755656,2.036199095,0.393665158,6.592760181,1.009049774,3.619909502,5.873303167,13.42986425,6.977375566,7.628959276,1.800904977,-0.095022624,0.054298643,4.126696833,2.357466063,0.701357466,1.018099548,0.78280543,21,-34
2018,Group E,Brazil,1,1,Switzerland,0,0,0.791326782,17.0129011,0.174457007,210.7823238,0.005762844,-0.354477904,0.876004879,0.9439917,0.525478923,0.309254115,-0.096354872,0.127278283,0.247845974,0.362766423,0.507890483,0.796086415,-0.06343048,0.261854242,0.66968078,0.453206263,0.347178953,-0.378939691,-0.293678785,-0.206538701,0.897702617,-0.607800427,0.821834966,-0.046499603,-0.212613776,-0.010418556,0.153743475,-0.375867296,-0.271214114,0.218407042,0.63489657,0.429642513,0.757598226,-0.240257888,-0.375051052,-0.473733762,0.80184578,0.502551904,0.890084886,0.811894756,0.809770888,-0.913398693,-6
2018,Group E,Costa Rica,0,1,Serbia,-1,0,-5.957983193,1.117647059,-9.176470588,-8,-0.277310924,2.071428571,-18.52380952,-11.66666667,-10.16666667,1.142857143,-4.095238095,-6.512605042,-15.03361345,-6.294117647,-7.218487395,-12.74789916,-4.840336134,-9.56302521,-10.16806723,-7.705882353,-9.075630252,6.075630252,3.638655462,6.193277311,-6.663865546,8.411764706,-13.05042017,11.25210084,-2.327731092,-6.915966387,-16.70588235,4.016806723,6.378151261,-7.739495798,-8.764705882,-14.11764706,-9.521008403,3.042016807,1.56302521,6.68907563,0.159663866,-0.663865546,-2.478991597,-1.285714286,0.672268908,15.33333333,-10
